link,topic,likes,views,upload_year,subscriber_count,title,duration,description,channel_name
https://www.youtube.com/watch?v=wRMa5Hy9ZNs&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,6.9K,277K,2021.0,1.14M subscribers,MIXTURE & ALLIGATION SMART APPROACHES | BEST TRICKS | RRB-NTPC | SSC | BANK | IBPS | POLICE EXAMS,,#Onlineclasses_CL,Chandan Logics
https://www.youtube.com/watch?v=OKSJDDAyqP0&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,20K,1.5M,2018.0,1.21M subscribers,"Mixture and Alligation - Shortcuts & Tricks for Placement Tests, Job Interviews & Exams",,"Crack the quantitative aptitude section of Placement Test or Job Interview at any company with shortcuts & tricks on Mixture and Alligation. Extremely helpful to crack entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=gA0EFrv9aL0&pp=ygUwQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbGxpZ2F0aW9ucyBhbmQgbWl4dHVyZXMg,Alligations and mixtures,74K,2M,2020.0,20.2M subscribers,Alligations and Mixtures Tricks | Mixture and Alligations Concept/Questions/Problems/Solutions,,"Hi,

In this video, we are going to learn the best concept of Alligation and Mixture. We tried to make it more r",Dear Sir
https://www.youtube.com/watch?v=co_6LHwUdqc&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzIA%3D%3D,Alphanumeric series,1K,52K,2023.0,475K subscribers,ALPHA NUMERIC SERIES - A TO Z BEGINNERS SERIES | RBI ASST./SBI/RRB/IBPS | MR.JACKSON,,Royale pass : ,Crack with Jack
https://www.youtube.com/watch?v=exAPyTTZ2uU&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzIA%3D%3D,Alphanumeric series,9.7K,348K,,1.14M subscribers,"NUMBER SERIES BEST SHORT TRICKS FOR ALL BANK, SSC, RAILWAY, DEFENCE , GROUPS & OTHER EXAMS",,#Onlineclasses_CL_9676578793,Chandan Logics
https://www.youtube.com/watch?v=3cZFoiDcpTY&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzINIHCQl-CQGHKiGM7w%3D%3D,Alphanumeric series,1.9K,76K,,1.73M subscribers,Element Series - 10 Types - Reasoning Ability || For all Competitive & Campus Exams,,#feelfreetolearn,Feel Free to Learn
https://www.youtube.com/watch?v=gXBuL_FyahE&t=1994s&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzIA%3D%3D,Alphanumeric series,28K,1.5M,2018.0,1.21M subscribers,"Series - Tricks & Shortcuts for Placement tests, Job Interviews & Exams",,"Crack the logical reasoning section of Placement Test or Job Interview at any company with shortcuts & tricks on Series. Extremely helpful for the preparation of entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=ka2fuIyrRZY&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzIA%3D%3D,Alphanumeric series,15K,393K,,8.67M subscribers,Alphanumeric Series Reasoning Tricks and Concepts | Bank Exam 2024 Reasoning By Shubham Srivastava,,Alphanumeric Series Reasoning Tricks and Concepts | Bank Exam 2024 Reasoning By Shubham Srivastava | Alphanumeric Series Reasoning Tricks | Alphanumeric Series for Bank Exams | Bank Exam 2024 Prepara,Adda247 
https://www.youtube.com/watch?v=-e7rpdHWZMk&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzINIHCQl-CQGHKiGM7w%3D%3D,Alphanumeric series,2.2K,96K,,495K subscribers,Alphanumeric series (Reasoning Ability) || All Types,,#feelfreetolearntamil,FeelFreetoLearn_தமிழ்
https://www.youtube.com/watch?v=gi_7qz2Uljg&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzIA%3D%3D,Alphanumeric series,2.3K,120K,,1.73M subscribers,Alphanumeric Series Explanation - Reasoning Ability || All Models,00:25,#feelfreetolearn,Feel Free to Learn
https://www.youtube.com/watch?v=HWySiF_OnhQ&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBbHBoYW51bWVyaWMgc2VyaWVzIA%3D%3D,Alphanumeric series,18,543,2020.0,2.37K subscribers,Logical Reasoning - Alphanumeric Sequence - Part 1 - Shortcut Tricks and Techniques,,"Visit www.completembacetcourse.com for access to ""Complete MBA CET Mastery Course.""

We focus on Training students who are preparing for MBA Entrance and Banking Exams and want to inc",CareerWise Mentors
https://www.youtube.com/watch?v=KE7tQf9spPg&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhIA%3D%3D,Area,54K,3.3M,2018.0,1.21M subscribers,"Time and Work - Shortcuts & Tricks for Placement Tests, Job Interviews & Exams",,"Crack the quantitative aptitude section of Placement Test or Job Interview at any company with shortcuts & tricks on Time and Work. Extremely helpful to crack entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=haYHBT-5et0&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhIA%3D%3D,Area,489,51K,2016.0,2.87M subscribers,Difference between Reasoning and Aptitude,,Reasoning & Aptitude: Difference between Reasoning and Aptitude,Neso Academy
https://www.youtube.com/watch?v=x9xR0GLYn3s&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhIA%3D%3D,Area,11K,530K,,661K subscribers,"Aptitude Questions for TCS,DXC & Accenture | Solve in 30Seconds | Best Tricks",,🔴Aptitude & Reasoning 2 weeks workshop: ,OnlineStudy4u
https://www.youtube.com/watch?v=_cW7_BUDYcw&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhIA%3D%3D,Area,67K,4.3M,2018.0,1.93M subscribers,"Aptitude Made Easy - Profit & Loss – Basics and Methods, Profit and loss shortcuts, Math tricks",,"Aptitude Made Easy - Profit & Loss – Basics and Methods, Profit and loss shortcuts, Math tricks",FreshCareers
https://www.youtube.com/watch?v=jzNxXm5twx4&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhIA%3D%3D,Area,65K,3.4M,2018.0,1.21M subscribers,"Speed, Distance & Time - Shortcuts & Tricks for Placement Tests, Job Interviews & Exams",,"Crack the quantitative aptitude section of Placement Test or Job Interview at any company with shortcuts & tricks on Speed, Distance & Time. Extremely helpful to crack entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=2rp_-h6PnFo&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhIA%3D%3D,Area,2.1K,141K,2023.0,1.21M subscribers,"Volume & Surface Area - Shortcuts & Tricks for Placement Tests, Job Interviews & Exams | Mensuration",,"Crack the quantitative aptitude section of Placement Test or Job Interview at any company with shortcuts & tricks on Volume & Surface area chapter of Mensuration. Extremely helpful to crack entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=V2azCSchs58&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhIA%3D%3D,Area,2.5K,188K,,4.83M subscribers,30 APTITUDE TEST QUESTIONS & ANSWERS! (How to PREPARE for an APTITUDE TEST!) 100% PASS!,,30 APTITUDE TEST QUESTIONS & ANSWERS! (How to PREPARE for an APTITUDE TEST!) 100% PASS! Get FREE ACCESS to my APTITUDE and PSYCHOMETRIC TESTING SUITE: ,CareerVidz
https://www.youtube.com/watch?v=xwqUyOT-cmU&pp=ygUcQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcmVhINIHCQl-CQGHKiGM7w%3D%3D,Area,3.2K,224K,2023.0,1.21M subscribers,"Area & Perimeter - Shortcuts & Tricks for Placement Tests, Job Interviews & Exams | Mensuration",,"Crack the quantitative aptitude section of Placement Test or Job Interview at any company with shortcuts & tricks on Area & Perimeter chapter of Mensuration. Extremely helpful to crack entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=RqpuoOubWkk&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlIA%3D%3D,Artificial Language,3.2K,128K,,1.73M subscribers,Coding Decoding (Important Model) - Reasoning Ability,,#feelfreetolearn,Feel Free to Learn
https://www.youtube.com/watch?v=qWdSoa1MO7c&t=34s&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlINIHCQl-CQGHKiGM7w%3D%3D,Artificial Language,28,1.4K,,8.78K subscribers,#Coding & #Decoding (Part 2) | #Logical #Reasoning #Aptitude | #ArtificialLanguage @TheAptitudeGuy,,"Coding and Decoding (Part 2) by @TheAptitudeGuy 

Coding & Decoding is one of the most common sections included in all the major competitive exams de",The Aptitude Guy
https://www.youtube.com/watch?v=7UM_VoWBmOs&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlIA%3D%3D,Artificial Language,1,83,,6 subscribers,How to solve Artificial Language type Logical Reasoning Questions?,,"Learn how to solve Artificial Language type logical reasoning problems.
This video explains the examples related to logical reasinoning problems in detail.
Maximize your score at aptitude examinations.",Code LEO
https://www.youtube.com/watch?v=RqMDsAwdy5w&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlINIHCQl-CQGHKiGM7w%3D%3D,Artificial Language,2,330,2021.0,33.7K subscribers,"Subject Reasoning Class 6,7,8 Ch 15 Artificial Language Lecture no 1",,NCERT/CBSE syllabus school classes lectures videos for learning from 1st to 12th.,Edquark
https://www.youtube.com/watch?v=Avv4cboWtBA&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlIA%3D%3D,Artificial Language,231,11K,2022.0,734 subscribers,Artificial Language - Reasoning - CH-23,,"Highflyer brings the complete guide on Logical Reasoning, with videos for concept clearing, practice paper for efficiency building and Mock test series for employability Testing. This training module contains: - 25 concept clearing videos - 25 Practice papers - 10 Mock assessments ",Rozgar_Sathi
https://www.youtube.com/watch?v=Db4Qu8_Vw7U&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlIA%3D%3D,Artificial Language,18,1K,2016.0,146K subscribers,LEARN LOGICAL REASONING IN 5 Minutes: ARTIFICIAL LANGUAGE,,,
https://www.youtube.com/watch?v=sjvkSJOCspw&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlIA%3D%3D,Artificial Language,3,85,,62 subscribers,Aritificial Language aptitude tricks| Logical reasoning | kalvip pathai,,#aptitudetricks,à®•à®²à¯à®µà®¿à®ªà¯ à®ªà®¾à®¤à¯ˆ
https://www.youtube.com/watch?v=SKA6o7QjmqA&pp=ygUrQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBcnRpZmljaWFsIExhbmd1YWdlIA%3D%3D,Artificial Language,0,13,,9 subscribers,Aritificial Language aptitude tricks| Logical reasoning | Answer Me,,#aptitudetricks,Answer Me
https://www.youtube.com/watch?v=01G1dibUDUM&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",6.6K,152K,,661K subscribers,TCS NQT 2025 Complete Aptitude Revision | 8-10 Marks DONE in Exam | Pratik Shrivastava Sir,,ðŸš¨TCS NQT Crash Course: ,OnlineStudy4u
https://www.youtube.com/watch?v=vtCx5tb1wXs&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",4.4K,87K,,33K subscribers,TCS NQT 2025 LAST MINUTE REVISION | MUST WATCH VERY IMPORTANT,,ðŸš¨TCS NQT Crash Course: ,Placement Walaa
https://www.youtube.com/watch?v=6Jrb4wEloCQ&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",2.5K,150K,2023.0,1.21M subscribers,"Statistics - Shortcuts & Tricks for Placement Tests, Jobs & Exams",,"Crack the quantitative aptitude section of Placement Test or Job Interview at any company with shortcuts & tricks on Statistics. This is an extremely important part of Quantitative Aptitude. Very helpful to crack entrance exams like MBA, Banking â€“ IBPS, RRB, NTPC, CGL, SBI, UPSC, SSC, Railways, TCS NQT, InfyTQ, TCS Ninj",CareerRide
https://www.youtube.com/watch?v=DKXeqZ1oISI&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",47K,982K,2021.0,91.8K subscribers,Algebra Basic Part 1| Average Tricks | Maths Trick | Maths Trick By Imran Sir Maths,,"imran sir maths has its own app now.
Keep learning, keep growing. ",imran sir maths 2.0
https://www.youtube.com/watch?v=KeDQ3WIWDmE&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",7,350,2023.0,615 subscribers,"Mean, Median and Mode Gat",,"If you're looking for a great video tutorial on average math, I highly recommend my video tutorial on YouTube. It covers basic math concepts such as finding the mean, median, and mode of a set of numbers as well as how to calculate a weighted average and an adjusted average.",Math for High School
https://www.youtube.com/watch?v=iNzvUH5IMCY&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",6,25,2023.0,292 subscribers,Introduction to Average | Quantitative Aptitude and Reasoning | Mean-Median-Mode #average,,Introduction to Average | Quantitative Aptitude and Reasoning | Mean-Median-Mode ,Education Dragon 
https://www.youtube.com/watch?v=9PAT5YF-GgI&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",1K,33K,2023.0,399K subscribers,"General Aptitude for CSIR NET & GATE | AVERAGES - MEAN, MODE, MEDIAN | Tricks with PYQs by GP sir",,Watch More Videos of CSIR NET & GATE for General Aptitude at - ,Dr.Gajendra Purohit - GATE / IIT JAM / CSIR NET
https://www.youtube.com/watch?v=eT4U44eTDvo&pp=ygU3QXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBBdmVyYWdlcywgTWVhbiwgTWVkaWFuIGFuZCBNb2RlIA%3D%3D,"Averages, Mean, Median and Mode",31K,1.8M,2018.0,1.93M subscribers,"Aptitude Made Easy - Problems on Average -1, Basics and Methods, Shortcuts, Tricks",,"Get the latest interview tips,Job notifications,top MNC openings,placement papers and many more only at Freshersworld.com(www.freshersworld.com?src=Youtube).
                        Aptitude Made Easy is an initiative by freshersworld.com.It consists of series of videos on ",FreshCareers
https://www.youtube.com/watch?v=4SisGo-Zm7M&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg,Blood Relations,Like,1.4M,2017.0,1.73M subscribers,BLOOD RELATION - POINTING TO A PERSON - Lesson 4,,#FeelFreetoLearn,Feel Free to Learn
https://www.youtube.com/watch?v=LRdLhfDupMU&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg,Blood Relations,56K,3M,2018.0,1.21M subscribers,"Blood Relations - Tricks & Shortcuts for Placement tests, Job Interviews & Exams",,"Crack the logical reasoning section of Placement Test or Job Interview at any company with shortcuts & tricks on Blood Relation. Extremely helpful for the preparation of entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=Chhmv2JV32M&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg,Blood Relations,Like,989K,2017.0,1.73M subscribers,BLOOD RELATION - Problems Based on EQUATION - Lesson 3,,#FeelFreetoLearn,Feel Free to Learn
https://www.youtube.com/watch?v=vOcjd5iw2so&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg,Blood Relations,14K,483K,2021.0,1.14M subscribers,BLOOD RELATIONS FASTEST TRICK 5 MARKS in 2MINS MUST WATCH | BANK | SSC | RRB | ALL COMPETITIVE EXAMS,,#Onlineclasses_CL,Chandan Logics
https://www.youtube.com/watch?v=eFykHutJRzc&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg,Blood Relations,347K,8.3M,2019.0,20.2M subscribers,Blood Relation Reasoning Tricks | Reasoning Blood Relation | Trick/Questions/Classes in Hindi,,"Hi,
in this video, we are going to learn Blood Relation in a very easy way. We will teach you some signs, which will help you to attempt questions. We have divided this video into two parts, one is Concept and second is ",Dear Sir
https://www.youtube.com/watch?v=tPqrZh56tqI&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg0gcJCX4JAYcqIYzv,Blood Relations,64K,1.4M,2023.0,2.23M subscribers,Blood Reasoning Trick | Maths Trick |Reasoning Trick | imran sir maths,,Buy Link Amazon – ,imran sir maths
https://www.youtube.com/watch?v=ZtPhVKxWMgw&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg,Blood Relations,2,77,,161K subscribers,Chapter 6 Blood Relations | Aptitude and Reasoning Class 6,,Chapter 6 Blood Relations | Aptitude and Reasoning Class 6,Blueprint Digital
https://www.youtube.com/watch?v=DV6fstatRp0&pp=ygUnQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCbG9vZCBSZWxhdGlvbnMg,Blood Relations,40,1.9K,2022.0,2.53K subscribers,Reasoning and Aptitude: Blood Relations for Grade 7,,Blood relation shows how a person is related to other members in a family. Solving questions based on Blood Relations helps develop and enhance your logical and analytical thinking.,VOLT Learning 
https://www.youtube.com/watch?v=-3AslBBnlLE&pp=ygUlQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCb2F0IFByb2JsZW1zIA%3D%3D,Boat Problems,2,22,2023.0,1.66K subscribers,Problems on Boats and Stream in Aptitude and Reasoning,,"Problems on Boats and Stream in Aptitude and Reasoning

The boat and stream concept is one of the most common topics based on which questions are asked in",unEducators
https://www.youtube.com/watch?v=J5fFbS_m7kI&pp=ygUlQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCb2F0IFByb2JsZW1zIA%3D%3D,Boat Problems,3.7K,373K,2018.0,1.93M subscribers,"Aptitude Made Easy - Problems on Boats and Streams-2, Basics and Methods, Shortcuts, Tricks",,"Get the latest interview tips,Job notifications,top MNC openings,placement papers and many more only at Freshersworld.com(www.freshersworld.com?src=Youtube).
                        Aptitude Made Easy is an initiative by freshersworld.com.It consists of series of videos on ",FreshCareers
https://www.youtube.com/watch?v=bGsngq-JTuM&pp=ygUlQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCb2F0IFByb2JsZW1zIA%3D%3D,Boat Problems,21K,484K,2021.0,2.23M subscribers,Boat And Stream | Boat and Stream problems tricks | maths trick by imran sir maths,,Dice Reasoning Trick,imran sir maths
https://www.youtube.com/watch?v=-EdJ4kAW-j4&pp=ygUlQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCb2F0IFByb2JsZW1zIA%3D%3D,Boat Problems,12K,752K,2018.0,1.21M subscribers,"Boats and Streams - Shortcuts & Tricks for Placement Tests, Job Interviews & Exams",,"Crack the quantitative aptitude section of Placement Test or Job Interview at any company with shortcuts & tricks on Boats and Streams. Extremely helpful to crack entrance exams like MBA, Banking â€“ IBPS, SBI, UPSC, SSC, Railways etc.",CareerRide
https://www.youtube.com/watch?v=zv2TaXN9WqQ&pp=ygUlQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCb2F0IFByb2JsZW1zIA%3D%3D,Boat Problems,3.2K,160K,2022.0,487K subscribers,"Quantitative Aptitude - Boats and Streams Concepts, Problems, Tricks and Shortcuts in Telugu",,"Quantitative Aptitude - Boats and Streams Concepts, Problems, Tricks and Shortcuts in Telugu
 ",SREEDHAR'S CCE
https://www.youtube.com/watch?v=AzBi-Dptfqo&pp=ygUlQXB0aXR1ZGUgYW5kIFJlYXNvbmluZyBCb2F0IFByb2JsZW1zIA%3D%3D,Boat Problems,8.4K,292K,2022.0,1.14M subscribers,BOATS & STREAMS COMPLETE CONCEPT & TRICKS BY Chandan Sir | BEST EXPLANATION | USEFUL FOR ALL EXAMS,,#Chandan_Logics,Chandan Logics
